device_eui;tijdstip;verbruik
7CC6C40800001265;2022081822;814
7CC6C40800001265;2022081823;822
7CC6C40800001265;2022081900;824
7CC6C40800001265;2022081901;824
7CC6C40800001265;2022081902;825
7CC6C40800001265;2022081903;823
7CC6C40800001265;2022081904;820
7CC6C40800001265;2022081905;819
7CC6C40800001265;2022081906;812
7CC6C40800001265;2022081907;816
7CC6C40800001265;2022081908;749
7CC6C40800001265;2022081909;8
7CC6C40800001265;2022081910;272
7CC6C40800001265;2022081911;855
7CC6C40800001265;2022081912;849
7CC6C40800001265;2022081913;864
7CC6C40800001265;2022081914;892
7CC6C40800001265;2022081915;830
7CC6C40800001265;2022081916;830
7CC6C40800001265;2022081917;806
7CC6C40800001265;2022081918;788
7CC6C40800001265;2022081919;777
7CC6C40800001265;2022081920;772
7CC6C40800001265;2022081921;817
7CC6C40800001265;2022081922;817
7CC6C40800001265;2022081923;825
7CC6C40800001265;2022082000;821
7CC6C40800001265;2022082001;821
7CC6C40800001265;2022082002;818
7CC6C40800001265;2022082003;814
7CC6C40800001265;2022082004;809
7CC6C40800001265;2022082005;808
7CC6C40800001265;2022082006;813
7CC6C40800001265;2022082007;815
7CC6C40800001265;2022082008;841
7CC6C40800001265;2022082009;870
7CC6C40800001265;2022082010;14
7CC6C40800001265;2022082011;5
7CC6C40800001265;2022082012;5
7CC6C40800001265;2022082013;6
7CC6C40800001265;2022082014;5
7CC6C40800001265;2022082015;6
7CC6C40800001265;2022082016;5
7CC6C40800001265;2022082017;5
7CC6C40800001265;2022082018;6
7CC6C40800001265;2022082019;5
7CC6C40800001265;2022082020;5
7CC6C40800001265;2022082021;6
7CC6C40800001265;2022082022;6
7CC6C40800001265;2022082023;5
7CC6C40800001265;2022082100;6
7CC6C40800001265;2022082101;5
7CC6C40800001265;2022082102;5
7CC6C40800001265;2022082103;6
7CC6C40800001265;2022082104;5
7CC6C40800001265;2022082105;6
7CC6C40800001265;2022082106;5
7CC6C40800001265;2022082107;6
7CC6C40800001265;2022082108;5
7CC6C40800001265;2022082109;5
7CC6C40800001265;2022082110;6
7CC6C40800001265;2022082111;4
7CC6C40800001265;2022082112;6
7CC6C40800001265;2022082113;6
7CC6C40800001265;2022082114;5
7CC6C40800001265;2022082115;5
7CC6C40800001265;2022082116;6
7CC6C40800001265;2022082117;5
7CC6C40800001265;2022082118;5
7CC6C40800001265;2022082119;6
7CC6C40800001265;2022082120;5
7CC6C40800001265;2022082121;5
7CC6C40800001265;2022082122;4
7CC6C40800001265;2022082123;5
7CC6C40800001265;2022082200;6
7CC6C40800001265;2022082201;5
7CC6C40800001265;2022082202;5
7CC6C40800001265;2022082203;6
7CC6C40800001265;2022082204;5
7CC6C40800001265;2022082205;6
7CC6C40800001265;2022082206;5
7CC6C40800001265;2022082207;6
7CC6C40800001265;2022082208;5
7CC6C40800001265;2022082209;5
7CC6C40800001265;2022082210;6
7CC6C40800001265;2022082211;5
7CC6C40800001265;2022082212;5
7CC6C40800001265;2022082213;6
7CC6C40800001265;2022082214;5
7CC6C40800001265;2022082215;5
7CC6C40800001265;2022082216;6
7CC6C40800001265;2022082217;5
7CC6C40800001265;2022082218;6
7CC6C40800001265;2022082219;5
7CC6C40800001265;2022082220;5
7CC6C40800001265;2022082221;6
7CC6C40800001265;2022082222;5
7CC6C40800001265;2022082223;6
7CC6C40800001265;2022082300;5
7CC6C40800001265;2022082301;5
7CC6C40800001265;2022082302;6
7CC6C40800001265;2022082303;5
7CC6C40800001265;2022082304;6
7CC6C40800001265;2022082305;5
7CC6C40800001265;2022082306;6
7CC6C40800001265;2022082307;5
7CC6C40800001265;2022082308;5
7CC6C40800001265;2022082309;6
7CC6C40800001265;2022082310;5
7CC6C40800001265;2022082311;5
7CC6C40800001265;2022082312;6
7CC6C40800001265;2022082313;5
7CC6C40800001265;2022082314;5
7CC6C40800001265;2022082315;6
7CC6C40800001265;2022082316;5
7CC6C40800001265;2022082317;5
7CC6C40800001265;2022082318;6
7CC6C40800001265;2022082319;5
7CC6C40800001265;2022082320;5
7CC6C40800001265;2022082321;6
7CC6C40800001265;2022082322;5
7CC6C40800001265;2022082323;5
7CC6C40800001265;2022082400;6
7CC6C40800001265;2022082401;5
7CC6C40800001265;2022082402;6
7CC6C40800001265;2022082403;5
7CC6C40800001265;2022082404;6
7CC6C40800001265;2022082405;5
7CC6C40800001265;2022082406;5
7CC6C40800001265;2022082407;6
7CC6C40800001265;2022082408;5
7CC6C40800001265;2022082409;5
7CC6C40800001265;2022082410;6
7CC6C40800001265;2022082411;5
7CC6C40800001265;2022082412;5
7CC6C40800001265;2022082413;6
7CC6C40800001265;2022082414;5
7CC6C40800001265;2022082415;5
7CC6C40800001265;2022082416;6
7CC6C40800001265;2022082417;4
7CC6C40800001265;2022082418;7
7CC6C40800001265;2022082419;4
7CC6C40800001265;2022082420;6
7CC6C40800001265;2022082421;6
7CC6C40800001265;2022093014;19
7CC6C40800001265;2022093015;13
7CC6C40800001265;2022093016;8
7CC6C40800001265;2022093017;5
7CC6C40800001265;2022093018;6
7CC6C40800001265;2022093019;5
7CC6C40800001265;2022093020;5
7CC6C40800001265;2022093021;6
7CC6C40800001265;2022100322;1
7CC6C40800001265;2022100403;31
7CC6C40800001265;2022100404;4
7CC6C40800001265;2022100407;18
7CC6C40800001265;2022100408;6
7CC6C40800001265;2022100409;5
7CC6C40800001265;2022100410;5
7CC6C40800001265;2022100411;6
7CC6C40800001265;2022100412;5
7CC6C40800001265;2022100413;5
7CC6C40800001265;2022100414;6
7CC6C40800001265;2022100415;5
7CC6C40800001265;2022100416;5
7CC6C40800001265;2022100417;5
7CC6C40800001265;2022100418;6
7CC6C40800001265;2022100419;6
7CC6C40800001265;2022100420;5
7CC6C40800001265;2022100421;5
7CC6C40800001265;2022100422;6
7CC6C40800001265;2022100503;25
7CC6C40800001265;2022100506;14
7CC6C40800001265;2022100507;8
7CC6C40800001265;2022100508;7
7CC6C40800001265;2022100509;5
7CC6C40800001265;2022100510;5
7CC6C40800001265;2022100511;6
7CC6C40800001265;2022100512;5
7CC6C40800001265;2022100513;6
7CC6C40800001265;2022100514;5
7CC6C40800001265;2022100515;5
7CC6C40800001265;2022100516;6
7CC6C40800001265;2022100517;5
7CC6C40800001265;2022100518;5
7CC6C40800001265;2022100519;6
7CC6C40800001265;2022100520;5
7CC6C40800001265;2022100521;5
7CC6C40800001265;2022100522;5
7CC6C40800001265;2022100523;1
7CC6C40800001265;2022100602;21
7CC6C40800001265;2022100603;3
7CC6C40800001265;2022100604;8
7CC6C40800001265;2022100605;1
7CC6C40800001265;2022100606;10
7CC6C40800001265;2022100607;5
7CC6C40800001265;2022100608;5
7CC6C40800001265;2022100609;6
7CC6C40800001265;2022100610;5
7CC6C40800001265;2022100611;6
7CC6C40800001265;2022100612;45
7CC6C40800001265;2022100613;985
7CC6C40800001265;2022100614;746
7CC6C40800001265;2022100615;704
7CC6C40800001265;2022100616;595
7CC6C40800001265;2022100617;806
7CC6C40800001265;2022100618;811
7CC6C40800001265;2022100619;956
7CC6C40800001265;2022100620;811
7CC6C40800001265;2022100621;784
7CC6C40800001265;2022101222;788
7CC6C40800001265;2022101223;6
7CC6C40800001265;2022101300;5
7CC6C40800001265;2022101301;6
7CC6C40800001265;2022101302;5
7CC6C40800001265;2022101303;5
7CC6C40800001265;2022101304;6
7CC6C40800001265;2022101305;5
7CC6C40800001265;2022101306;6
7CC6C40800001265;2022101307;620
7CC6C40800001265;2022101308;798
7CC6C40800001265;2022101309;813
7CC6C40800001265;2022101310;860
7CC6C40800001265;2022101311;861
7CC6C40800001265;2022101312;876
7CC6C40800001265;2022101313;523
7CC6C40800001265;2022101314;378
7CC6C40800001265;2022101315;509
7CC6C40800001265;2022101316;430
7CC6C40800001265;2022101317;5
